PROSPECT,
Cab,60
Cca,10
Cdm,0.012
Cw,0.009
Cs,0
Cant,1
Cp,0
Cbc,0
N,1.5
rho_thermal,0.01
tau_thermal,0.01
,
Leaf_Biochemical,
Vcmax25,115
BallBerrySlope,6
BallBerry0,0.1
Type,0
kV,0.64
Rdparam,0.015
Kn0,2.48
Knalpha,2.83
Knbeta,0.114
 ,
Leaf_Biochemical_magnani,
Tyear,15
beta,0.51
kNPQs,0
qLs,1
stressfactor,1
,
Fluorescence,
fqe,0.01
,
Soil,
spectrum,1
rss,500
rs_thermal,0.06
cs,1180
rhos,1800
lambdas,1.55
SMC,25
BSMBrightness,0.5
BSMlat,25
BSMlon,45
,
Canopy,
LAI,1.8
hc,40
LIDFa,-0.35
LIDFb,-0.15
leafwidth,0.1
Cv,1
crowndiameter,1
,
Meteo,
z,70
Rin,600
Ta,20
Rli,300
p,970
ea,15
u,2
Ca,410
Oa,209
,
Aerodynamic,
zo,4
d,27
Cd,0.3
rb,10
CR,0.35
CD1,20.6
Psicor,0.2
CSSOIL,0.01
rbs,10
rwc,0
,
timeseries,
startDOY,20191020
endDOY,20191024
LAT,-35.66
LON,148.15
timezn,10
,
Angles,
tts,30
tto,0
psi,0